code,Region Name,Sub-region Name,country,slope,error,number_of_points,start_date,end_date,r0,r0_error,pf_eigenvalue,pf_eigenvalue [0],"pf_eigenvalue [0, 1]","pf_eigenvalue [0, 1, 2]","pf_eigenvalue [0, 1, 2, 3]","pf_eigenvalue [0, 1, 2, 3, 4]","pf_eigenvalue [0, 1, 2, 3, 4, 5]","pf_eigenvalue [0, 1, 2, 3, 4, 5, 6]","pf_eigenvalue [0, 1, 2, 3, 4, 5, 6, 7]"
GTM,Americas,Latin America and the Caribbean,Guatemala,0.053216099999999995,0.00128001,61,2020-04-24,2020-06-23,1.3274470605909041,0.008915459649486096,24.962942858478698,24.4645415716023,21.958112628526735,16.85912879005055,8.978630550058046,6.818695835058959,5.351142902728978,4.111951703503114,3.0252082144159957
GUY,Americas,Latin America and the Caribbean,Guyana,-0.00166167,0.0005896969999999999,110,2020-08-20,2020-12-07,0.9910630691306713,0.0031587809538970893,21.736052013147336,21.625489867977986,21.395853219251272,20.202087780287137,9.2778269030336,7.489202651477856,6.25527262165304,5.008848157987053,3.7018224520277903
HND,Americas,Latin America and the Caribbean,Honduras,0.0406207,0.0009285680000000001,72,2020-04-29,2020-07-09,1.2422778325187012,0.0060935073111173,22.46958671516854,21.968955352949,20.457087398553114,17.30543214357924,9.917654183114848,7.8891998289450065,6.252587608427515,4.8386152527819135,3.53339006606018
HRV,Europe,Southern Europe,Croatia,-0.00504831,0.0044641,28,2020-03-23,2020-04-19,0.9730705986632443,0.023522031575142006,13.614430716665726,13.464449644148731,13.18360001933404,12.31557817467581,10.666034892108573,9.677086162355085,8.190280768701903,6.692961756991995,5.280950271849206
HTI,Americas,Latin America and the Caribbean,Haiti,-0.0174472,0.000272238,197,2020-05-17,2020-11-29,0.9096748549327955,0.0013502054539969409,20.712996699091832,20.267370589247662,18.65381875379163,15.873370453868501,11.430490187213895,9.433133242013435,7.570280735237786,6.02667631392706,4.572224845432944
HUN,Europe,Eastern Europe,Hungary,0.029528199999999998,0.00329065,34,2020-03-27,2020-04-29,1.1713726740086376,0.020483357550186515,13.712442023482806,13.522874376318462,13.212816915344458,12.688076922712266,11.312127641044409,10.406380578968069,9.210380502554932,7.545662414483732,5.5391196386156
IDN,Asia,South-eastern Asia,Indonesia,0.0232299,0.000362468,130,2020-03-19,2020-07-26,1.132751864171538,0.002189303764489332,18.69663670005632,18.49897472425964,17.96252855881587,16.454638384667625,11.388487840402574,9.734076385376882,8.035253627762213,6.360799080081058,4.644153312292499
IND,Asia,Southern Asia,India,0.15103,0.00530596,23,2020-03-21,2020-04-12,2.189283218435985,0.05793415405174222,19.406031886777363,19.128949313607407,18.04469164170775,16.297362674730167,10.364367935340622,8.134156337377473,6.461884045573889,5.016256923322309,3.615133794868224
IRL,Europe,Northern Europe,Ireland,0.0820551,0.00309184,32,2020-03-18,2020-04-18,1.5425344241988972,0.024646113681195642,14.849415984182036,14.579798479520809,13.768902806046514,12.447452899969823,11.06406728821784,10.120377271148039,8.611088350844721,6.800360006558108,5.028463309618716
IRN,Asia,Southern Asia,Iran (Islamic Republic of),0.338426,0.0186546,10,2020-02-27,2020-03-07,5.346742343368508,0.45436132337519614,18.038137150450307,17.839628046129032,17.364614029395472,16.358695311953472,11.588585417427595,8.381256099895309,5.659657080622902,3.930078379453345,2.6214823043653683
IRQ,Asia,Western Asia,Iraq,0.0132984,0.00148944,57,2020-03-27,2020-05-22,1.0741729653435572,0.008577058763330897,25.158933598226056,24.571142076718093,22.904611168675494,20.745384106487286,10.010350847866153,7.961812323338353,6.426961536016961,5.139236891311952,3.945522291899237
ISL,Europe,Northern Europe,Iceland,0.019302200000000002,0.00683175,21,2020-03-19,2020-04-08,1.109250566372836,0.040493651724615,16.579438756077028,16.314133095403708,15.9649681832421,15.128765147317335,12.421327126129926,11.159418485301847,9.706767137820313,8.143971743394415,6.453850127725956
ISR,Asia,Western Asia,Israel,0.210749,0.0111862,14,2020-03-18,2020-03-31,2.9358638806996855,0.15898587969020078,15.177120874249216,14.561225492618993,13.67672344190172,12.401097833777607,10.577158948344756,9.286603191039339,7.733022397123326,6.218216557236573,4.63566081599383
ITA,Europe,Southern Europe,Italy,0.202664,0.00577078,21,2020-02-24,2020-03-15,2.822954121013055,0.07917833617800583,17.045015096339625,16.76394519545265,16.403680797942787,15.47398415044545,14.31186531581785,13.067258035217543,11.361470380792449,9.749824968441557,7.1625695154621605
JAM,Americas,Latin America and the Caribbean,Jamaica,0.0218782,0.00203014,45,2020-08-20,2020-10-03,1.1246139934274617,0.012182845072208586,19.58882431739564,19.442717466778905,18.854192535673832,16.869064830983568,10.605013512324813,8.446252556842008,7.038921255211683,5.5207899196871315,4.3467244781961165
JOR,Asia,Western Asia,Jordan,0.08558539999999999,0.00159766,51,2020-08-22,2020-10-11,1.570907428321052,0.012945786600352236,22.176661766702853,21.76296997438672,20.07102608287388,16.979664914882708,9.534571164421573,6.2515723394164775,4.196472173942377,2.6364469850334875,1.634869113638458
JPN,Asia,Eastern Asia,Japan,0.0210821,0.00697861,21,2020-03-07,2020-03-27,1.1198457146208711,0.04171897053060938,13.182380852266785,13.022259398967256,12.72735734023393,12.228264535784035,11.186855147886684,10.446299696123193,9.379369825666798,8.067528232190082,6.370961928396382
KAZ,Asia,Central Asia,Kazakhstan,0.033280800000000006,0.00105263,69,2020-03-29,2020-06-05,1.1949419268427945,0.006670665395750496,19.538205299072853,19.307073027217196,19.047789597507,18.190745668648802,13.520026195696175,11.283414392014187,9.302949034300097,7.472338510365843,5.527884587861595
KEN,Africa,Sub-Saharan Africa,Kenya,0.0364801,0.0006674410000000001,93,2020-05-07,2020-08-07,1.2153715897152098,0.004294589344951152,23.156710946960803,22.4046117557859,20.125672267744008,16.878013469332828,10.479170378670988,8.45078826470753,6.665293795257781,5.128970516414031,3.6078473715202826
KGZ,Asia,Central Asia,Kyrgyzstan,0.011509700000000001,0.00138831,64,2020-04-12,2020-06-14,1.0639168565398365,0.00792607189809377,20.71314137501208,20.436389008158482,20.017988395372825,18.872539033252767,11.4690985093665,8.835311814094814,6.9237618705412025,5.375557086743556,3.8581019891109616
KOR,Asia,Eastern Asia,Republic of Korea,0.216182,0.013783600000000002,12,2020-02-22,2020-03-04,3.014000219102082,0.2005804845602034,16.322113805657818,16.251795542342037,16.015117038906133,14.987020977285821,11.742466345998828,10.773547545113711,9.542808843292267,8.069971015726765,6.437472504426919
KWT,Asia,Western Asia,Kuwait,0.06627899999999999,0.00156225,51,2020-04-04,2020-05-24,1.421285508730395,0.011570056576787622,19.024866223254808,18.581522710631933,17.498628421104492,16.818228955341954,15.967220291403187,14.363888351653571,10.991734052082947,7.4653321563428685,4.594747585469137
LBN,Asia,Western Asia,Lebanon,-0.0546154,0.00330581,42,2020-03-26,2020-05-06,0.7412440054541104,0.01364035917260005,17.059423494390522,16.871188587711902,16.290904626956912,14.622529941565773,9.423899471812438,6.847646353151017,5.29575691051063,4.107168263415494,3.0623718832820783
LKA,Asia,Southern Asia,Sri Lanka,-0.0388445,0.00492297,28,2020-04-26,2020-05-23,0.8089449287391599,0.02197262279812391,19.005931387847653,18.840463655216762,18.27021249272447,16.87073918699541,9.900068789557652,7.850838276772012,6.3603814443904065,4.969743516799759,3.803685868598605
LSO,Africa,Sub-Saharan Africa,Lesotho,-0.0668803,0.023078799999999997,10,2020-07-29,2020-08-07,0.6921613132181675,0.08954182031121441,23.065905240370306,22.813047005061588,21.403664368039863,18.582528928262388,11.549400280902006,8.679605107864287,6.80704401006542,5.429778372241636,4.129358070280295
