ISO-alpha3 Code,country,pf_eigenvalue,pf_eigenvalue [0],"pf_eigenvalue [0, 1]","pf_eigenvalue [0, 1, 2]","pf_eigenvalue [0, 1, 2, 3]","pf_eigenvalue [0, 1, 2, 3, 4]","pf_eigenvalue [0, 1, 2, 3, 4, 5]","pf_eigenvalue [0, 1, 2, 3, 4, 5, 6]","pf_eigenvalue [0, 1, 2, 3, 4, 5, 6, 7]"
IRQ,Iraq,25.158933598226056,24.571142076718086,22.904611168675498,20.745384106487283,10.010350847866153,7.961812323338352,6.426961536016961,5.139236891311951,3.945522291899237
ISL,Iceland,16.57943875607703,16.314133095403708,15.964968183242101,15.128765147317335,12.421327126129926,11.159418485301849,9.706767137820313,8.143971743394415,6.453850127725956
ISR,Israel,15.177120874249217,14.561225492618991,13.676723441901721,12.401097833777609,10.577158948344755,9.286603191039339,7.733022397123326,6.218216557236574,4.63566081599383
ITA,Italy,17.045015096339622,16.76394519545265,16.403680797942783,15.47398415044545,14.31186531581785,13.067258035217542,11.36147038079245,9.749824968441557,7.16256951546216
JAM,Jamaica,19.58882431739564,19.442717466778902,18.854192535673832,16.869064830983568,10.605013512324813,8.446252556842008,7.038921255211684,5.520789919687132,4.3467244781961165
JOR,Jordan,22.17666176670285,21.762969974386717,20.07102608287388,16.979664914882708,9.534571164421571,6.251572339416478,4.196472173942377,2.6364469850334875,1.6348691136384579
JPN,Japan,13.182380852266789,13.022259398967256,12.72735734023393,12.228264535784035,11.186855147886684,10.446299696123193,9.379369825666796,8.067528232190082,6.370961928396382
KAZ,Kazakhstan,19.538205299072857,19.307073027217193,19.047789597507,18.190745668648802,13.520026195696175,11.283414392014187,9.302949034300097,7.472338510365843,5.527884587861595
KEN,Kenya,23.1567109469608,22.4046117557859,20.125672267744008,16.878013469332828,10.479170378670986,8.45078826470753,6.66529379525778,5.1289705164140305,3.6078473715202826
KGZ,Kyrgyzstan,20.71314137501208,20.436389008158482,20.017988395372825,18.87253903325277,11.4690985093665,8.835311814094812,6.9237618705412025,5.375557086743557,3.8581019891109616
KHM,Cambodia,25.804690534935403,25.679182163081173,25.36666426996706,24.05637660464987,13.09186085030042,10.330718930931344,8.160908766731142,6.369880237659777,4.90241791601041
KIR,Kiribati,20.481396419563847,20.065114510426536,18.81152135043488,15.014855375321144,8.717620249348723,6.339087736230498,4.963945302873135,3.9470108795388703,3.040081235942023
KOR,Republic of Korea,16.322113805657818,16.25179554234204,16.015117038906133,14.987020977285821,11.742466345998828,10.77354754511371,9.542808843292267,8.069971015726765,6.4374725044269185
KWT,Kuwait,19.02486622325481,18.581522710631937,17.49862842110449,16.818228955341954,15.967220291403187,14.363888351653573,10.991734052082947,7.465332156342869,4.594747585469138
LAO,Lao People's Democratic Republic,24.512466614018734,24.132582669565267,22.312647023709918,19.24932900537449,8.891357138756232,6.883671507653239,5.534128619805991,4.422787894196255,3.3621152575115643
LBN,Lebanon,17.059423494390522,16.871188587711906,16.290904626956916,14.622529941565771,9.423899471812438,6.847646353151017,5.295756910510631,4.107168263415493,3.0623718832820783
